IP 地址,已发�?已接�?丢包�?平均延迟,下载速度 (MB/s),,,
104.16.38.6,1,1,0,216.23,0
104.16.198.51,1,1,0,216.24,0
104.16.93.40,1,1,0,216.24,0
104.16.101.234,1,1,0,216.25,0
104.16.80.219,1,1,0,216.25,0
198.41.209.96,1,1,0,216.25,0
104.17.83.173,1,1,0,216.26,0
162.159.251.30,1,1,0,216.26,0
104.25.134.46,1,1,0,216.26,0
104.25.135.198,1,1,0,216.27,0
172.64.46.7,1,1,0,216.27,0
172.67.170.135,1,1,0,216.28,0
104.16.218.92,1,1,0,216.28,0
172.64.69.171,1,1,0,216.28,0
162.159.16.164,1,1,0,216.29,0
104.16.28.166,1,1,0,216.29,0
162.159.25.155,1,1,0,216.29,0
104.18.217.181,1,1,0,216.3,0
104.16.232.27,1,1,0,216.31,0
104.16.136.7,1,1,0,216.31,0
104.16.72.181,1,1,0,216.32,0
104.17.1.172,1,1,0,216.32,0
104.24.210.211,1,1,0,216.32,0
141.101.90.223,1,1,0,216.33,0
104.25.96.236,1,1,0,216.33,0
104.24.44.159,1,1,0,216.33,0
162.159.24.246,1,1,0,216.34,0
104.26.9.230,1,1,0,216.34,0
104.16.42.64,1,1,0,216.34,0
162.159.136.16,1,1,0,216.34,0
104.18.48.213,1,1,0,216.34,0
104.26.5.223,1,1,0,216.34,0
104.23.122.139,1,1,0,216.34,0
104.16.178.76,1,1,0,216.35,0
104.26.11.102,1,1,0,216.35,0
104.18.152.83,1,1,0,216.35,0
172.67.29.231,1,1,0,216.35,0
104.23.135.60,1,1,0,216.36,0
104.23.135.50,1,1,0,216.36,0
104.27.25.227,1,1,0,216.37,0
104.23.134.174,1,1,0,216.38,0
162.159.130.37,1,1,0,216.38,0
104.20.151.160,1,1,0,216.39,0
104.16.89.21,1,1,0,216.39,0
104.27.102.1,1,1,0,216.39,0
104.18.7.205,1,1,0,216.4,0
104.16.233.28,1,1,0,216.4,0
172.67.18.186,1,1,0,216.4,0
188.114.98.175,1,1,0,216.4,0
162.159.141.218,1,1,0,216.41,0
104.19.227.58,1,1,0,216.42,0
104.16.188.26,1,1,0,216.42,0
172.67.26.149,1,1,0,216.42,0
162.159.6.191,1,1,0,216.42,0
104.16.169.126,1,1,0,216.43,0
162.159.255.147,1,1,0,216.43,0
104.16.21.60,1,1,0,216.43,0
104.19.28.225,1,1,0,216.43,0
104.16.156.167,1,1,0,216.44,0
104.16.16.12,1,1,0,216.44,0
104.16.193.205,1,1,0,216.44,0
104.19.19.176,1,1,0,216.44,0
104.16.29.148,1,1,0,216.45,0
104.27.119.177,1,1,0,216.46,0
104.26.8.194,1,1,0,216.46,0
104.16.66.78,1,1,0,216.46,0
104.18.15.126,1,1,0,216.47,0
104.16.24.78,1,1,0,216.47,0
104.17.238.140,1,1,0,216.47,0
198.41.212.243,1,1,0,216.47,0
104.19.136.175,1,1,0,216.47,0
104.21.11.44,1,1,0,216.47,0
104.16.202.200,1,1,0,216.49,0
104.16.114.136,1,1,0,216.51,0
104.16.114.106,1,1,0,216.51,0
104.25.116.230,1,1,0,216.51,0
104.18.222.196,1,1,0,216.51,0
104.16.121.48,1,1,0,216.51,0
104.16.17.70,1,1,0,216.51,0
198.41.204.132,1,1,0,216.51,0
104.20.210.204,1,1,0,216.51,0
104.18.179.183,1,1,0,216.52,0
172.67.53.38,1,1,0,216.53,0
104.16.68.158,1,1,0,216.54,0
162.159.137.65,1,1,0,216.54,0
162.159.135.246,1,1,0,216.55,0
162.159.51.165,1,1,0,216.56,0
104.16.111.10,1,1,0,216.56,0
172.65.150.111,1,1,0,216.56,0
104.16.143.100,1,1,0,216.56,0
162.159.242.164,1,1,0,216.57,0
104.16.101.43,1,1,0,216.57,0
104.27.194.125,1,1,0,216.57,0
162.159.24.255,1,1,0,216.58,0
104.16.24.81,1,1,0,216.58,0
104.16.42.111,1,1,0,216.58,0
104.16.178.69,1,1,0,216.59,0
104.18.215.110,1,1,0,216.59,0
104.18.211.137,1,1,0,216.59,0
172.64.68.49,1,1,0,216.6,0
104.16.12.125,1,1,0,216.6,0
104.27.98.10,1,1,0,216.6,0
172.64.53.140,1,1,0,216.6,0
104.16.24.108,1,1,0,216.6,0
104.16.74.154,1,1,0,216.61,0
104.20.216.161,1,1,0,216.61,0
104.25.112.181,1,1,0,216.62,0
104.16.208.19,1,1,0,216.62,0
104.16.228.115,1,1,0,216.62,0
104.29.48.141,1,1,0,216.64,0
198.41.202.236,1,1,0,216.64,0
104.16.42.105,1,1,0,216.64,0
198.41.192.28,1,1,0,216.64,0
104.16.210.164,1,1,0,216.64,0
104.26.6.87,1,1,0,216.65,0
104.17.118.219,1,1,0,216.66,0
104.16.143.95,1,1,0,216.66,0
141.101.115.12,1,1,0,216.66,0
104.16.8.137,1,1,0,216.67,0
104.16.123.67,1,1,0,216.68,0
104.16.207.221,1,1,0,216.68,0
104.16.143.104,1,1,0,216.68,0
104.16.124.144,1,1,0,216.68,0
104.16.143.114,1,1,0,216.69,0
104.16.8.129,1,1,0,216.69,0
104.21.15.156,1,1,0,216.69,0
104.21.15.158,1,1,0,216.69,0
172.65.215.68,1,1,0,216.7,0
104.16.93.142,1,1,0,216.71,0
162.159.202.227,1,1,0,216.71,0
104.20.26.219,1,1,0,216.72,0
162.159.130.116,1,1,0,216.72,0
172.67.59.5,1,1,0,216.72,0
104.19.140.128,1,1,0,216.74,0
104.16.215.26,1,1,0,216.74,0
104.20.188.162,1,1,0,216.75,0
104.25.115.134,1,1,0,216.76,0
104.16.93.131,1,1,0,216.76,0
172.67.24.132,1,1,0,216.76,0
104.16.167.104,1,1,0,216.76,0
104.27.198.195,1,1,0,216.77,0
104.16.16.253,1,1,0,216.77,0
162.159.246.218,1,1,0,216.77,0
104.16.72.198,1,1,0,216.77,0
104.26.11.179,1,1,0,216.77,0
104.16.118.88,1,1,0,216.79,0
104.27.103.130,1,1,0,216.79,0
104.16.70.227,1,1,0,216.8,0
104.24.58.97,1,1,0,216.81,0
172.67.10.177,1,1,0,216.81,0
104.23.117.225,1,1,0,216.82,0
104.16.58.67,1,1,0,216.82,0
162.159.138.216,1,1,0,216.82,0
104.16.255.33,1,1,0,216.82,0
104.16.66.32,1,1,0,216.82,0
104.17.36.177,1,1,0,216.84,0
141.101.115.52,1,1,0,216.85,0
162.159.202.247,1,1,0,216.85,0
104.17.1.180,1,1,0,216.85,0
162.159.141.45,1,1,0,216.85,0
162.159.141.47,1,1,0,216.85,0
162.159.141.43,1,1,0,216.85,0
162.159.141.50,1,1,0,216.85,0
104.23.115.84,1,1,0,216.87,0
104.16.201.10,1,1,0,216.87,0
104.25.104.91,1,1,0,216.88,0
104.24.6.15,1,1,0,216.88,0
104.16.20.204,1,1,0,216.88,0
104.16.20.205,1,1,0,216.88,0
104.16.114.108,1,1,0,216.89,0
104.18.218.162,1,1,0,216.89,0
104.16.203.113,1,1,0,216.9,0
162.159.29.181,1,1,0,216.9,0
172.64.33.215,1,1,0,216.9,0
104.17.121.183,1,1,0,216.9,0
104.23.103.130,1,1,0,216.92,0
172.65.35.141,1,1,0,216.92,0
104.19.221.134,1,1,0,216.92,0
104.16.43.36,1,1,0,216.92,0
104.21.26.209,1,1,0,216.93,0
104.19.253.223,1,1,0,216.93,0
104.16.197.9,1,1,0,216.94,0
104.25.134.129,1,1,0,216.94,0
104.16.133.56,1,1,0,216.94,0
172.64.48.36,1,1,0,216.94,0
162.159.136.83,1,1,0,216.95,0
172.67.10.150,1,1,0,216.95,0
104.16.39.14,1,1,0,216.95,0
104.16.92.109,1,1,0,216.96,0
162.159.7.113,1,1,0,216.97,0
104.16.206.194,1,1,0,216.97,0
104.16.34.243,1,1,0,216.97,0
172.66.45.36,1,1,0,216.98,0
104.16.183.107,1,1,0,216.98,0
104.16.79.116,1,1,0,216.98,0
162.159.130.33,1,1,0,216.98,0
104.16.205.182,1,1,0,216.98,0
162.159.205.84,1,1,0,216.99,0
162.159.29.220,1,1,0,216.99,0
172.67.24.215,1,1,0,216.99,0
104.16.225.110,1,1,0,217,0
104.16.188.29,1,1,0,217,0
104.16.230.82,1,1,0,217,0
104.16.53.119,1,1,0,217,0
198.41.217.36,1,1,0,217.01,0
104.20.192.172,1,1,0,217.01,0
104.16.215.56,1,1,0,217.02,0
104.26.4.191,1,1,0,217.03,0
172.65.93.241,1,1,0,217.04,0
104.16.80.210,1,1,0,217.04,0
172.65.92.227,1,1,0,217.04,0
104.16.38.164,1,1,0,217.05,0
104.20.178.124,1,1,0,217.05,0
104.27.195.218,1,1,0,217.05,0
104.19.223.31,1,1,0,217.06,0
172.67.46.121,1,1,0,217.06,0
162.159.29.194,1,1,0,217.06,0
104.16.228.225,1,1,0,217.06,0
104.16.208.17,1,1,0,217.07,0
104.20.213.227,1,1,0,217.07,0
104.16.216.85,1,1,0,217.08,0
104.16.82.157,1,1,0,217.08,0
104.25.96.141,1,1,0,217.08,0
104.17.26.8,1,1,0,217.09,0
104.16.232.222,1,1,0,217.09,0
104.16.39.21,1,1,0,217.1,0
104.16.60.13,1,1,0,217.1,0
104.25.102.166,1,1,0,217.1,0
104.19.13.173,1,1,0,217.1,0
162.159.137.75,1,1,0,217.11,0
104.16.125.200,1,1,0,217.11,0
141.101.115.2,1,1,0,217.11,0
104.20.216.163,1,1,0,217.12,0
104.16.16.8,1,1,0,217.12,0
104.16.51.62,1,1,0,217.12,0
172.65.40.4,1,1,0,217.12,0
104.27.194.128,1,1,0,217.12,0
172.65.210.234,1,1,0,217.13,0
162.159.134.155,1,1,0,217.13,0
104.16.229.3,1,1,0,217.13,0
104.16.173.95,1,1,0,217.13,0
104.20.237.127,1,1,0,217.13,0
162.159.3.14,1,1,0,217.14,0
104.26.7.143,1,1,0,217.14,0
104.16.226.247,1,1,0,217.14,0
104.23.135.78,1,1,0,217.15,0
162.159.11.73,1,1,0,217.15,0
104.18.226.183,1,1,0,217.16,0
104.16.19.254,1,1,0,217.16,0
104.29.53.209,1,1,0,217.17,0
104.23.136.237,1,1,0,217.19,0
104.16.229.26,1,1,0,217.19,0
104.27.125.60,1,1,0,217.19,0
104.16.205.199,1,1,0,217.2,0
104.26.6.48,1,1,0,217.21,0
104.16.67.139,1,1,0,217.21,0
162.159.25.86,1,1,0,217.21,0
104.23.135.61,1,1,0,217.22,0
104.25.96.22,1,1,0,217.22,0
104.18.217.89,1,1,0,217.23,0
104.20.211.32,1,1,0,217.24,0
104.16.150.25,1,1,0,217.25,0
104.16.118.222,1,1,0,217.25,0
104.27.127.72,1,1,0,217.25,0
104.25.112.101,1,1,0,217.26,0
104.16.203.68,1,1,0,217.27,0
104.20.211.35,1,1,0,217.27,0
104.22.49.226,1,1,0,217.28,0
104.18.220.154,1,1,0,217.28,0
104.24.10.93,1,1,0,217.29,0
172.65.166.226,1,1,0,217.29,0
104.16.60.235,1,1,0,217.29,0
162.159.3.136,1,1,0,217.29,0
104.23.121.31,1,1,0,217.3,0
104.16.237.108,1,1,0,217.3,0
104.16.25.66,1,1,0,217.31,0
104.20.178.82,1,1,0,217.31,0
104.16.70.89,1,1,0,217.32,0
104.20.191.255,1,1,0,217.32,0
104.16.109.154,1,1,0,217.33,0
104.18.199.34,1,1,0,217.33,0
162.159.16.40,1,1,0,217.33,0
172.66.43.248,1,1,0,217.33,0
104.16.182.238,1,1,0,217.34,0
104.23.135.146,1,1,0,217.34,0
104.18.15.124,1,1,0,217.34,0
104.19.252.76,1,1,0,217.35,0
104.23.117.136,1,1,0,217.35,0
104.16.38.5,1,1,0,217.35,0
141.101.115.46,1,1,0,217.35,0
104.16.118.186,1,1,0,217.35,0
104.25.137.135,1,1,0,217.36,0
104.20.223.243,1,1,0,217.37,0
104.16.219.161,1,1,0,217.37,0
104.25.125.52,1,1,0,217.38,0
104.16.86.44,1,1,0,217.38,0
104.25.134.103,1,1,0,217.39,0
172.67.58.162,1,1,0,217.39,0
104.16.90.226,1,1,0,217.39,0
104.16.114.133,1,1,0,217.4,0
162.159.51.170,1,1,0,217.4,0
104.18.198.247,1,1,0,217.4,0
104.16.59.204,1,1,0,217.41,0
172.64.48.13,1,1,0,217.41,0
162.159.141.100,1,1,0,217.41,0
162.159.9.34,1,1,0,217.42,0
104.16.114.95,1,1,0,217.42,0
104.16.114.92,1,1,0,217.42,0
104.17.31.195,1,1,0,217.42,0
104.24.10.141,1,1,0,217.43,0
104.16.135.228,1,1,0,217.43,0
104.27.56.187,1,1,0,217.43,0
104.16.64.20,1,1,0,217.43,0
104.17.253.224,1,1,0,217.44,0
104.16.37.237,1,1,0,217.44,0
141.101.115.61,1,1,0,217.44,0
104.16.173.208,1,1,0,217.44,0
104.16.238.188,1,1,0,217.45,0
104.16.122.112,1,1,0,217.46,0
104.27.119.215,1,1,0,217.46,0
104.20.176.17,1,1,0,217.47,0
104.27.119.35,1,1,0,217.47,0
104.21.11.105,1,1,0,217.47,0
104.20.142.87,1,1,0,217.47,0
104.16.131.221,1,1,0,217.47,0
104.27.105.14,1,1,0,217.47,0
172.65.95.54,1,1,0,217.47,0
104.16.96.213,1,1,0,217.48,0
104.23.105.26,1,1,0,217.48,0
104.16.231.241,1,1,0,217.48,0
104.16.8.23,1,1,0,217.48,0
104.17.11.251,1,1,0,217.49,0
104.16.173.110,1,1,0,217.49,0
104.19.244.152,1,1,0,217.5,0
190.93.247.186,1,1,0,217.5,0
162.159.250.242,1,1,0,217.51,0
162.159.25.58,1,1,0,217.51,0
162.159.51.167,1,1,0,217.51,0
104.16.38.158,1,1,0,217.52,0
104.16.114.103,1,1,0,217.54,0
104.16.121.11,1,1,0,217.54,0
198.41.222.79,1,1,0,217.54,0
104.23.106.201,1,1,0,217.54,0
104.20.162.220,1,1,0,217.55,0
104.17.30.38,1,1,0,217.55,0
104.21.0.127,1,1,0,217.55,0
104.16.110.59,1,1,0,217.55,0
104.23.130.97,1,1,0,217.56,0
104.25.104.64,1,1,0,217.56,0
104.16.122.141,1,1,0,217.56,0
104.17.129.142,1,1,0,217.56,0
104.16.29.131,1,1,0,217.57,0
104.16.208.24,1,1,0,217.57,0
104.16.8.236,1,1,0,217.57,0
162.159.29.193,1,1,0,217.58,0
104.18.251.42,1,1,0,217.58,0
104.16.210.139,1,1,0,217.58,0
104.16.38.115,1,1,0,217.58,0
172.67.48.90,1,1,0,217.58,0
104.20.144.95,1,1,0,217.59,0
104.16.80.215,1,1,0,217.59,0
104.17.47.251,1,1,0,217.59,0
104.16.162.64,1,1,0,217.59,0
104.16.179.150,1,1,0,217.6,0
104.24.7.60,1,1,0,217.61,0
104.17.13.193,1,1,0,217.61,0
162.159.7.147,1,1,0,217.61,0
104.16.53.104,1,1,0,217.61,0
104.27.112.145,1,1,0,217.62,0
172.64.48.141,1,1,0,217.62,0
104.16.25.97,1,1,0,217.62,0
104.16.140.14,1,1,0,217.63,0
104.16.126.182,1,1,0,217.63,0
104.16.207.51,1,1,0,217.63,0
104.19.9.30,1,1,0,217.64,0
162.159.51.177,1,1,0,217.65,0
104.16.87.164,1,1,0,217.65,0
104.23.114.25,1,1,0,217.65,0
104.24.7.33,1,1,0,217.65,0
104.16.197.110,1,1,0,217.66,0
162.159.143.57,1,1,0,217.66,0
172.67.174.102,1,1,0,217.67,0
104.17.13.206,1,1,0,217.68,0
162.159.9.29,1,1,0,217.68,0
104.16.210.163,1,1,0,217.69,0
162.159.1.150,1,1,0,217.69,0
162.159.153.183,1,1,0,217.7,0
104.26.6.56,1,1,0,217.7,0
104.16.230.194,1,1,0,217.7,0
104.19.13.209,1,1,0,217.71,0
104.17.41.191,1,1,0,217.71,0
104.16.173.193,1,1,0,217.71,0
104.18.232.138,1,1,0,217.72,0
104.18.251.131,1,1,0,217.72,0
104.20.244.234,1,1,0,217.72,0
104.16.14.98,1,1,0,217.72,0
104.16.14.91,1,1,0,217.72,0
172.65.37.220,1,1,0,217.72,0
198.41.221.24,1,1,0,217.73,0
104.27.25.55,1,1,0,217.73,0
104.23.130.202,1,1,0,217.73,0
104.16.79.120,1,1,0,217.73,0
104.16.144.15,1,1,0,217.73,0
104.16.110.71,1,1,0,217.74,0
172.67.175.48,1,1,0,217.74,0
104.24.4.73,1,1,0,217.74,0
104.24.4.72,1,1,0,217.74,0
104.19.18.114,1,1,0,217.74,0
104.16.143.119,1,1,0,217.75,0
104.23.133.253,1,1,0,217.75,0
104.17.38.101,1,1,0,217.75,0
104.23.134.250,1,1,0,217.76,0
172.64.32.32,1,1,0,217.77,0
104.17.247.219,1,1,0,217.77,0
162.159.11.242,1,1,0,217.78,0
104.19.35.6,1,1,0,217.79,0
104.25.113.150,1,1,0,217.79,0
162.159.136.65,1,1,0,217.79,0
172.65.157.178,1,1,0,217.8,0
104.16.122.147,1,1,0,217.8,0
104.16.9.126,1,1,0,217.81,0
104.25.112.177,1,1,0,217.81,0
172.65.158.12,1,1,0,217.81,0
162.159.25.80,1,1,0,217.81,0
104.16.232.96,1,1,0,217.82,0
104.18.205.0,1,1,0,217.83,0
108.162.192.14,1,1,0,217.83,0
104.16.114.123,1,1,0,217.83,0
104.16.178.221,1,1,0,217.84,0
104.16.251.107,1,1,0,217.85,0
104.16.21.142,1,1,0,217.85,0
162.159.255.115,1,1,0,217.86,0
104.25.140.27,1,1,0,217.86,0
104.16.37.255,1,1,0,217.86,0
104.18.215.108,1,1,0,217.86,0
104.16.41.21,1,1,0,217.87,0
162.159.129.14,1,1,0,217.89,0
104.16.38.238,1,1,0,217.9,0
104.19.246.65,1,1,0,217.9,0
162.159.32.0,1,1,0,217.91,0
104.23.130.73,1,1,0,217.91,0
162.159.196.212,1,1,0,217.91,0
104.16.105.100,1,1,0,217.91,0
172.67.17.146,1,1,0,217.92,0
104.16.155.12,1,1,0,217.92,0
162.159.11.98,1,1,0,217.92,0
104.23.103.11,1,1,0,217.92,0
104.16.88.243,1,1,0,217.93,0
104.16.118.241,1,1,0,217.93,0
104.18.217.195,1,1,0,217.93,0
104.20.152.54,1,1,0,217.93,0
104.16.144.48,1,1,0,217.94,0
162.159.7.149,1,1,0,217.94,0
104.16.86.58,1,1,0,217.94,0
104.20.161.192,1,1,0,217.95,0
104.16.188.210,1,1,0,217.96,0
104.24.10.92,1,1,0,217.96,0
104.16.233.62,1,1,0,217.96,0
104.20.161.196,1,1,0,217.96,0
104.16.89.216,1,1,0,217.96,0
162.159.24.220,1,1,0,217.96,0
104.16.238.146,1,1,0,217.97,0
104.16.122.200,1,1,0,217.98,0
104.21.210.235,1,1,0,217.99,0
104.21.222.109,1,1,0,217.99,0
104.16.117.252,1,1,0,217.99,0
104.16.194.234,1,1,0,217.99,0
104.17.1.125,1,1,0,217.99,0
104.25.120.13,1,1,0,218,0
104.23.113.143,1,1,0,218,0
162.159.24.239,1,1,0,218,0
104.16.118.176,1,1,0,218,0
162.159.3.128,1,1,0,218.01,0
104.25.112.178,1,1,0,218.01,0
104.16.42.85,1,1,0,218.02,0
104.16.225.216,1,1,0,218.02,0
104.27.105.150,1,1,0,218.02,0
104.16.118.182,1,1,0,218.03,0
198.41.192.81,1,1,0,218.03,0
104.16.93.100,1,1,0,218.04,0
104.16.178.71,1,1,0,218.04,0
162.159.196.22,1,1,0,218.04,0
162.159.196.19,1,1,0,218.04,0
104.16.114.130,1,1,0,218.04,0
104.18.251.234,1,1,0,218.04,0
104.16.34.168,1,1,0,218.05,0
104.16.80.156,1,1,0,218.05,0
104.16.118.192,1,1,0,218.05,0
172.65.45.69,1,1,0,218.06,0
104.23.97.98,1,1,0,218.06,0
104.23.133.131,1,1,0,218.07,0
104.25.117.10,1,1,0,218.07,0
104.23.103.129,1,1,0,218.09,0
104.26.13.74,1,1,0,218.09,0
104.16.96.204,1,1,0,218.1,0
104.16.170.144,1,1,0,218.1,0
162.159.2.135,1,1,0,218.11,0
104.17.12.30,1,1,0,218.13,0
104.27.120.255,1,1,0,218.13,0
172.67.55.12,1,1,0,218.14,0
162.159.25.172,1,1,0,218.14,0
162.159.135.221,1,1,0,218.15,0
104.16.39.81,1,1,0,218.15,0
104.16.8.30,1,1,0,218.15,0
104.27.102.86,1,1,0,218.16,0
104.16.114.97,1,1,0,218.17,0
104.27.197.128,1,1,0,218.17,0
104.16.8.15,1,1,0,218.18,0
172.65.211.114,1,1,0,218.18,0
198.41.217.43,1,1,0,218.19,0
104.16.173.105,1,1,0,218.19,0
104.27.197.133,1,1,0,218.19,0
104.21.209.174,1,1,0,218.19,0
104.16.110.74,1,1,0,218.2,0
172.65.36.203,1,1,0,218.21,0
162.159.16.65,1,1,0,218.22,0
104.16.169.86,1,1,0,218.22,0
162.159.51.81,1,1,0,218.22,0
104.23.137.113,1,1,0,218.22,0
104.16.210.180,1,1,0,218.23,0
104.16.21.159,1,1,0,218.23,0
104.16.21.171,1,1,0,218.23,0
162.159.25.83,1,1,0,218.24,0
104.16.38.252,1,1,0,218.25,0
104.16.116.218,1,1,0,218.25,0
104.27.113.143,1,1,0,218.25,0
104.17.31.113,1,1,0,218.25,0
104.16.154.253,1,1,0,218.25,0
172.67.13.78,1,1,0,218.26,0
172.64.50.137,1,1,0,218.26,0
104.18.77.51,1,1,0,218.26,0
104.26.3.29,1,1,0,218.27,0
104.19.0.89,1,1,0,218.27,0
141.101.90.204,1,1,0,218.28,0
104.20.194.36,1,1,0,218.28,0
162.159.29.216,1,1,0,218.28,0
104.16.67.212,1,1,0,218.28,0
104.16.231.97,1,1,0,218.29,0
104.20.241.97,1,1,0,218.29,0
104.16.194.230,1,1,0,218.29,0
162.159.29.217,1,1,0,218.29,0
104.18.114.94,1,1,0,218.29,0
104.17.27.59,1,1,0,218.3,0
104.16.64.3,1,1,0,218.31,0
104.27.118.79,1,1,0,218.31,0
162.159.10.71,1,1,0,218.31,0
162.159.130.13,1,1,0,218.32,0
104.25.129.206,1,1,0,218.32,0
104.16.132.113,1,1,0,218.32,0
104.23.140.1,1,1,0,218.32,0
104.17.246.96,1,1,0,218.34,0
104.23.134.43,1,1,0,218.35,0
104.16.39.12,1,1,0,218.35,0
104.16.41.107,1,1,0,218.35,0
104.16.20.247,1,1,0,218.36,0
104.16.207.14,1,1,0,218.36,0
172.65.166.150,1,1,0,218.37,0
104.16.178.128,1,1,0,218.38,0
104.26.10.155,1,1,0,218.38,0
104.16.156.113,1,1,0,218.38,0
104.17.33.194,1,1,0,218.38,0
104.24.8.82,1,1,0,218.39,0
104.16.154.50,1,1,0,218.39,0
104.16.202.244,1,1,0,218.4,0
162.159.25.34,1,1,0,218.4,0
104.25.121.25,1,1,0,218.4,0
104.18.111.167,1,1,0,218.4,0
172.65.94.219,1,1,0,218.41,0
104.25.140.255,1,1,0,218.42,0
104.16.114.83,1,1,0,218.42,0
104.22.48.134,1,1,0,218.43,0
162.159.142.96,1,1,0,218.43,0
104.25.134.92,1,1,0,218.44,0
162.159.250.148,1,1,0,218.44,0
104.17.170.128,1,1,0,218.44,0
104.16.101.238,1,1,0,218.45,0
172.65.215.43,1,1,0,218.45,0
104.16.169.134,1,1,0,218.45,0
172.64.53.229,1,1,0,218.46,0
172.67.43.52,1,1,0,218.46,0
104.24.14.59,1,1,0,218.46,0
162.159.250.140,1,1,0,218.47,0
162.159.244.54,1,1,0,218.47,0
162.159.3.7,1,1,0,218.48,0
162.159.3.8,1,1,0,218.48,0
104.16.75.131,1,1,0,218.48,0
162.159.25.46,1,1,0,218.48,0
104.27.14.234,1,1,0,218.49,0
104.25.134.106,1,1,0,218.49,0
104.16.179.226,1,1,0,218.49,0
104.16.13.25,1,1,0,218.5,0
104.16.13.22,1,1,0,218.5,0
104.25.134.116,1,1,0,218.5,0
104.16.93.132,1,1,0,218.5,0
162.159.24.244,1,1,0,218.51,0
104.25.114.122,1,1,0,218.52,0
104.16.103.222,1,1,0,218.52,0
104.23.135.175,1,1,0,218.52,0
104.16.93.119,1,1,0,218.52,0
104.16.103.214,1,1,0,218.52,0
104.16.12.240,1,1,0,218.52,0
104.21.232.176,1,1,0,218.53,0
104.16.109.114,1,1,0,218.53,0
104.18.238.102,1,1,0,218.53,0
104.16.126.236,1,1,0,218.53,0
162.159.16.22,1,1,0,218.54,0
162.159.202.222,1,1,0,218.54,0
104.21.217.153,1,1,0,218.55,0
104.16.228.189,1,1,0,218.56,0
162.159.6.222,1,1,0,218.56,0
162.159.2.10,1,1,0,218.57,0
104.16.21.200,1,1,0,218.57,0
172.67.42.229,1,1,0,218.57,0
172.66.42.99,1,1,0,218.57,0
104.27.117.219,1,1,0,218.58,0
198.41.200.53,1,1,0,218.58,0
172.67.9.37,1,1,0,218.58,0
104.24.37.216,1,1,0,218.58,0
104.16.153.8,1,1,0,218.59,0
104.16.51.98,1,1,0,218.59,0
104.23.106.200,1,1,0,218.59,0
104.16.66.34,1,1,0,218.6,0
104.19.6.96,1,1,0,218.61,0
104.16.110.46,1,1,0,218.62,0
104.16.8.52,1,1,0,218.62,0
104.16.182.151,1,1,0,218.62,0
104.16.116.51,1,1,0,218.63,0
104.16.38.247,1,1,0,218.64,0
104.16.94.219,1,1,0,218.65,0
162.159.25.116,1,1,0,218.66,0
104.20.134.226,1,1,0,218.67,0
198.41.202.80,1,1,0,218.68,0
172.65.151.212,1,1,0,218.69,0
104.16.10.212,1,1,0,218.7,0
104.16.173.91,1,1,0,218.7,0
141.101.114.123,1,1,0,218.71,0
104.20.175.249,1,1,0,218.71,0
104.16.20.203,1,1,0,218.72,0
104.16.155.1,1,1,0,218.72,0
104.23.123.159,1,1,0,218.72,0
104.16.66.67,1,1,0,218.73,0
104.16.145.64,1,1,0,218.73,0
104.27.15.156,1,1,0,218.73,0
104.20.243.231,1,1,0,218.73,0
104.20.215.236,1,1,0,218.74,0
104.16.199.9,1,1,0,218.74,0
104.16.13.3,1,1,0,218.74,0
104.25.113.76,1,1,0,218.74,0
162.159.25.74,1,1,0,218.75,0
172.67.0.177,1,1,0,218.75,0
104.16.208.13,1,1,0,218.76,0
104.27.127.225,1,1,0,218.76,0
104.16.33.184,1,1,0,218.76,0
198.41.202.229,1,1,0,218.77,0
172.67.23.245,1,1,0,218.77,0
104.25.99.38,1,1,0,218.77,0
172.67.21.2,1,1,0,218.77,0
162.159.242.152,1,1,0,218.78,0
104.24.36.125,1,1,0,218.78,0
104.18.245.192,1,1,0,218.78,0
162.159.2.114,1,1,0,218.79,0
104.16.37.240,1,1,0,218.79,0
104.20.234.139,1,1,0,218.8,0
104.19.19.19,1,1,0,218.8,0
104.16.160.133,1,1,0,218.81,0
104.16.161.64,1,1,0,218.81,0
104.16.117.243,1,1,0,218.81,0
104.19.1.138,1,1,0,218.81,0
172.65.215.208,1,1,0,218.82,0
104.16.148.93,1,1,0,218.83,0
162.159.25.82,1,1,0,218.83,0
104.27.96.215,1,1,0,218.83,0
162.159.29.211,1,1,0,218.83,0
104.18.252.189,1,1,0,218.84,0
104.16.206.135,1,1,0,218.84,0
104.23.116.100,1,1,0,218.84,0
104.16.72.147,1,1,0,218.84,0
172.67.14.121,1,1,0,218.85,0
104.16.206.234,1,1,0,218.85,0
104.16.38.122,1,1,0,218.85,0
104.16.38.125,1,1,0,218.85,0
162.159.3.124,1,1,0,218.86,0
104.23.134.236,1,1,0,218.86,0
172.65.92.17,1,1,0,218.86,0
172.64.33.143,1,1,0,218.86,0
104.16.201.51,1,1,0,218.87,0
104.27.5.221,1,1,0,218.87,0
172.65.36.24,1,1,0,218.88,0
172.65.43.73,1,1,0,218.88,0
104.19.246.237,1,1,0,218.88,0
104.16.8.42,1,1,0,218.89,0
104.16.235.237,1,1,0,218.9,0
104.27.2.240,1,1,0,218.9,0
104.16.66.226,1,1,0,218.91,0
104.16.68.50,1,1,0,218.91,0
104.27.113.140,1,1,0,218.91,0
104.18.189.146,1,1,0,218.91,0
104.17.4.217,1,1,0,218.92,0
